,Return,MaxDD,PF,Wins,Losses
P5,-0.04880923257837956,-0.163302413596632,0.787616529471153,2.0,12.0
P50,0.3208152479061249,-0.07112723038664606,2.9571297261590774,4.0,14.0
P95,0.733503253267962,-0.031016751315140728,8.139742824186262,6.0,16.0
