date,day_pnl
2025-04-11,-0.03774131486804285
2025-04-21,4.384231712917012
2025-04-22,-0.056447797321344285
2025-05-02,26.337848753961055
2025-05-21,-0.05449974963515199
2025-05-25,-10.845645046849159
2025-06-04,-0.06077360789393636
2025-06-05,-6.272005145916049
2025-06-09,-0.06058305458123422
2025-06-12,-4.883843974826213
2025-06-18,-0.06043427677191936
2025-06-28,66.45247242532795
2025-07-02,-0.06243201319980941
2025-07-05,-5.022503523828761
2025-07-09,-0.06227900748950023
2025-07-19,20.198141317278058
2025-07-23,-0.06288489558640176
2025-07-24,-9.518509676098116
