time,symbol,side,price,qty,pnl,equity,date
2025-04-11 18:00:00+02:00,SUPER/USDT,ENTRY,0.5158428999999999,121.94059750892782,-0.03774131486804285,1999.962258685132,2025-04-11
2025-04-21 18:00:00+02:00,SUPER/USDT,TIME_EXIT,0.5524377,121.94059750892782,4.384231712917012,2004.346490398049,2025-04-21
2025-04-22 10:00:00+02:00,SUPER/USDT,ENTRY,0.5743178,163.81115508215223,-0.056447797321344285,2004.2900426007275,2025-04-22
2025-05-02 10:00:00+02:00,SUPER/USDT,TIME_EXIT,0.7358857,163.81115508215223,26.337848753961055,2030.6278913546885,2025-05-02
2025-05-21 14:00:00+02:00,SUPER/USDT,ENTRY,0.8647865999999998,105.03506420958264,-0.05449974963515199,2030.5733916050533,2025-05-21
2025-05-25 10:00:00+02:00,SUPER/USDT,EXIT,0.7625056,105.03506420958264,-10.845645046849159,2019.7277465582042,2025-05-25
2025-06-04 10:00:00+02:00,KAVA/USDT,ENTRY,0.44593379999999994,227.13987253241166,-0.06077360789393636,2019.6669729503103,2025-06-04
2025-06-05 18:00:00+02:00,KAVA/USDT,EXIT,0.4188397,227.13987253241166,-6.272005145916049,2013.3949678043944,2025-06-05
2025-06-09 10:00:00+02:00,KNC/USDT,ENTRY,0.3483419,289.86394583996463,-0.06058305458123422,2013.3343847498131,2025-06-09
2025-06-12 22:00:00+02:00,KNC/USDT,EXIT,0.33190129999999995,289.86394583996463,-4.883843974826213,2008.4505407749868,2025-06-12
2025-06-18 22:00:00+02:00,TUT/USDT,ENTRY,0.03573689,2818.482375491141,-0.06043427677191936,2008.390106498215,2025-06-18
2025-06-28 22:00:00+02:00,TUT/USDT,TIME_EXIT,0.059371349999999996,2818.482375491141,66.45247242532795,2074.842578923543,2025-06-28
2025-07-02 18:00:00+02:00,SIGN/USDT,ENTRY,0.06862526,1516.2544423586257,-0.06243201319980941,2074.7801469103433,2025-07-02
2025-07-05 10:00:00+02:00,SIGN/USDT,EXIT,0.06539323,1516.2544423586257,-5.022503523828761,2069.7576433865147,2025-07-05
2025-07-09 18:00:00+02:00,ZEN/USDT,ENTRY,7.75319,13.387824342732955,-0.06227900748950023,2069.6953643790252,2025-07-09
2025-07-19 18:00:00+02:00,ZEN/USDT,TIME_EXIT,9.2721,13.387824342732955,20.198141317278058,2089.8935056963032,2025-07-19
2025-07-23 06:00:00+02:00,PUNDIX/USDT,ENTRY,0.3788330999999999,276.660511741634,-0.06288489558640176,2089.830620800717,2025-07-23
2025-07-24 02:00:00+02:00,PUNDIX/USDT,EXIT,0.3448623,276.660511741634,-9.518509676098116,2080.312111124619,2025-07-24
