Return,MaxDD,PF,Wins,Losses
0.38143767644044857,-0.057139414980478476,3.2624405848887377,5,13
0.40128352987628824,-0.04651720016774598,3.697707807884588,5,13
0.2818615180240962,-0.06254555953056237,2.3296101679012913,4,14
0.3691809439603315,-0.055799532948588554,3.6596778067843707,4,14
0.5740826681620199,-0.05131926115315523,5.0011038533382575,4,14
0.25962159488890024,-0.10178003543866558,2.350913458463501,3,15
0.44260586358376974,-0.04530746580838169,3.608835576132693,3,15
0.5005614181915019,-0.055976468655072054,4.255754258682049,4,14
0.16147012279194106,-0.0662593101773067,1.7932860688977716,5,13
0.3879345256804265,-0.045033051489985085,3.682590807855777,4,14
0.20195249068499677,-0.09470974964976829,2.0822996890198278,3,15
0.18490561671654282,-0.05162911434060227,2.1370167666894972,4,14
0.4619910430105434,-0.06577000546467487,6.309286004249759,3,15
0.28761396343487955,-0.04842865279527516,2.751715464794243,3,15
0.12018010351894337,-0.1638724647136441,1.5310129677788704,2,16
-0.09424792257299719,-0.1727675418469619,0.5657503067473555,2,16
0.38480331283150004,-0.07783460286490575,3.2333081700469233,4,14
0.17225780699471005,-0.10191952652535051,1.9885974059801201,2,16
0.486182516341753,-0.06440749454516052,4.856148305256966,3,15
0.5497281669331486,-0.035564636273927384,7.782769808612783,6,12
-0.07015314131913075,-0.1091805334455394,0.6971435645905194,2,16
-0.06884730801286665,-0.1706577271988853,0.7010959096949111,2,16
0.4207993427095622,-0.09016288459757447,4.765640863093099,4,14
0.24224900913971337,-0.060515684073813816,2.644307692152659,5,13
0.45152487743127523,-0.035841481887798794,4.290871162736117,5,13
0.27732442248771827,-0.06606078975324897,2.8498086763688564,3,15
0.7324732157896625,-0.020169445224717465,9.900755009852093,4,14
0.007624105297295403,-0.1028876533110137,1.0375611129181965,2,16
0.6730734677072154,-0.022451416713716157,7.6856727411875765,5,13
0.6105875273069674,-0.0469117519183431,5.905769941793387,5,13
0.9184484564335356,-0.02552486223337513,12.151348236451879,6,12
0.44303417249441135,-0.09618271981848575,3.6179693770501853,3,15
0.3638047873860981,-0.08123949521348846,3.7975338781515844,4,14
0.2775329111701643,-0.11473149222788379,2.4473091375088685,4,14
0.05029020282018104,-0.07230338467349931,1.2149307820506725,4,14
0.41877324788899206,-0.17247444741538615,3.1643247854901357,3,15
0.7193863087641779,-0.04936723724034818,5.534825929265773,4,14
0.7414991813355993,-0.04530746580838169,6.431311158359492,4,14
-0.08116209234264626,-0.11306093161201747,0.602049877383364,2,16
0.23980519498551955,-0.053390828425742845,2.433756423853352,6,12
0.46945265626920185,-0.020738858178072236,8.440556147114991,4,14
0.4552142526589691,-0.05830269129313066,3.506590873567072,3,15
0.6550412051843029,-0.020738858178072236,11.476881821704895,4,14
-0.22450484815779814,-0.22450484815779817,0.0,0,18
0.5039794279265366,-0.06564942986003965,5.00715635412533,4,14
-0.09372434399050134,-0.14455896479341984,0.5290843060881028,1,17
0.511590023071006,-0.058595023511455506,6.081734631093442,3,15
-0.08764601093189028,-0.13953500589730602,0.6481932751775067,2,16
0.4070126504463991,-0.05139257885198204,5.030828543692382,4,14
0.06803043134035969,-0.0694240264195021,1.3831702767566552,4,14
0.43290063087064135,-0.06015668226686631,4.485382841030484,4,14
0.2580070455869541,-0.08428466649211137,2.5245221772276585,3,15
0.5492204387676412,-0.06710615309901675,4.262502492028722,4,14
0.36847328152303827,-0.04955822904269542,4.654854550513587,4,14
0.7027947649182129,-0.05739262957638766,5.01075680145778,4,14
0.6298933236706847,-0.04007636616857208,5.855935161907578,5,13
0.38143767644044835,-0.05696122883321165,3.2624405848887372,5,13
0.4458215826638918,-0.0703511534663912,4.462138252753275,5,13
0.3779494991147707,-0.1428326230595054,3.1096141641610298,4,14
0.4398522443570758,-0.05581489419123422,4.264453622092334,5,13
-0.08739518565140147,-0.2045764056978322,0.6803852449431567,2,16
0.7906221775176143,-0.03685022512519698,10.04601445311834,4,14
0.030779701802612136,-0.094478996514576,1.1559966522227272,3,15
0.6548438354796928,-0.024458924059623206,9.164439697080859,5,13
0.2339397833185104,-0.11874615845011549,2.5131114517234328,3,15
0.4880577551319454,-0.036614919505379845,4.280764568821402,3,15
0.4436199277218389,-0.06933912674410828,3.630535874338408,3,15
0.4044616527557179,-0.14674255503105144,2.9463922329920798,3,15
0.22803113975931288,-0.07287655531547499,2.4206036603379,3,15
0.4561044974592563,-0.050304225300887906,4.8493834889575105,5,13
0.17047275858449917,-0.10861851632665889,1.7817145682909687,3,15
0.37763399930745556,-0.07571823039936404,3.4377258400927633,4,14
0.33852086237378987,-0.0694240264195021,2.997565398750296,4,14
0.23928271644369814,-0.12444440473357612,2.040323178385848,4,14
-0.09335410340992067,-0.21559863508960703,0.5680898681038922,2,16
0.4861945520690909,-0.057800277570700026,4.227812882515336,3,15
0.24058505500836103,-0.08904051935022438,2.2888947810013813,3,15
0.15351123669057087,-0.1288197799143843,1.5146330477127674,3,15
0.40523298792852414,-0.1058847514084851,2.9573696904789863,3,15
0.28401812202430765,-0.0650567613419679,2.476611168039676,3,15
0.11619333379057917,-0.13404886912864797,1.455896213581018,2,16
0.060587543427513824,-0.1022867096665587,1.2708599021917484,4,14
0.4499075227055114,-0.05988260368883806,3.407034042630736,3,15
0.3436410105905554,-0.07106724034106951,3.7349116584426456,4,14
0.29598080212763644,-0.04530746580838169,2.7078116976382343,4,14
-0.04583852014326828,-0.11829793500449577,0.7789035645832367,2,16
0.09811348942979548,-0.13048302466169898,1.6653424029348631,4,14
0.2484617781935723,-0.06320392403264474,2.499721918630597,5,13
